Comment,Designator,Footprint,LCSC,Quantity
2N2222,Q1,SOT-89-3,C21714170,1
D,D3,D_SMA,C5148475,1
D,"D1,D2,D5",D_SMA,C5356810,3
L7805,U6,TO-252-2,C7394043,1
MCP6002-xSN,U5,SOIC-8_3.9x4.9mm_P1.27mm,C7377,1
TL074,"U3,U4",SOIC-14_3.9x8.7mm_P1.27mm,C6963,2
LED,LED1,led-3mm,,1
22K,R18,R_0603_1608Metric,C31850,1
1K,R16,R_0603_1608Metric,C2907002,1
10K,R40,R_0603_1608Metric,C2906982,1
100nF,C6,C_0603_1608Metric,,1
Digital Input Jack,J8,jack-thonkiconn-mono,,1
100K,R19,R_0603_1608Metric,C116674,1
100nF,C12,C_0603_1608Metric,,1
1nF,C15,C_0603_1608Metric,,1
100nF,C18,C_0603_1608Metric,,1
100K,R8,R_0603_1608Metric,C116674,1
100K,R35,R_0603_1608Metric,C116674,1
Output 1 Jack,J3,jack-thonkiconn-mono,,1
100nF,C13,C_0603_1608Metric,,1
1K,R38,R_0603_1608Metric,C2907002,1
100K,R32,R_0603_1608Metric,C116674,1
LED,LED5,led-3mm,,1
100K,R31,R_0603_1608Metric,C116674,1
SW_Push,SW1,switch-momentary-c&k,,1
4K7,R12,R_0603_1608Metric,C101062,1
1uF,C3,C_0603_1608Metric,,1
100nF,C5,C_0603_1608Metric,,1
22K,R23,R_0603_1608Metric,C31850,1
KNOB 2,VR2,potentiometer-9mm,,1
100K,R7,R_0603_1608Metric,C116674,1
100nF,C16,C_0603_1608Metric,,1
100nF,C11,C_0603_1608Metric,,1
10K,R5,R_0603_1608Metric,C2906982,1
220K,R22,R_0603_1608Metric,C3016402,1
LED,LED3,led-3mm,,1
10uF,C1,C_0805_2012Metric,,1
Output 5 Jack,J7,jack-thonkiconn-mono,,1
KNOB 1,VR1,potentiometer-9mm,,1
10K,R6,R_0603_1608Metric,C2906982,1
1K,R3,R_0603_1608Metric,C2907002,1
220K,R10,R_0603_1608Metric,C3016402,1
LED,LED2,led-3mm,,1
1K,R30,R_0603_1608Metric,C2907002,1
4K7,R37,R_0603_1608Metric,C101062,1
1K,R26,R_0603_1608Metric,C2907002,1
100nF,C7,C_0603_1608Metric,,1
1K,R4,R_0603_1608Metric,C2907002,1
100nF,C14,C_0603_1608Metric,,1
Output 2 Jack,J6,jack-thonkiconn-mono,,1
4K7,R11,R_0603_1608Metric,C101062,1
1K,R14,R_0603_1608Metric,C2907002,1
1K,R17,R_0603_1608Metric,C2907002,1
100K,R15,R_0603_1608Metric,C116674,1
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,,1
LED,LED6,led-3mm,,1
220K,R9,R_0603_1608Metric,C3016402,1
1K,R1,R_0603_1608Metric,C2907002,1
220K,R33,R_0603_1608Metric,C3016402,1
Output 3 Jack,J9,jack-thonkiconn-mono,,1
4K7,R36,R_0603_1608Metric,C101062,1
100nF,C9,C_0603_1608Metric,,1
220K,R34,R_0603_1608Metric,C3016402,1
Output 4 Jack,J4,jack-thonkiconn-mono,,1
1K,R2,R_0603_1608Metric,C2907002,1
22K,R28,R_0603_1608Metric,C31850,1
100nF,C17,C_0603_1608Metric,,1
4K7,R25,R_0603_1608Metric,C101062,1
1K,R29,R_0603_1608Metric,C2907002,1
4K7,R24,R_0603_1608Metric,C101062,1
1K,R13,R_0603_1608Metric,C2907002,1
Analogue Input Jack,J5,jack-thonkiconn-mono,,1
100K,R20,R_0603_1608Metric,C116674,1
10uF,C2,C_0805_2012Metric,,1
SW_Push,SW2,switch-momentary-c&k,,1
1K,R27,R_0603_1608Metric,C2907002,1
100nF,C10,C_0603_1608Metric,,1
1K,R39,R_0603_1608Metric,C2907002,1
Output 6 Jack,J10,jack-thonkiconn-mono,,1
100nF,C4,C_0603_1608Metric,,1
LED,LED4,led-3mm,,1
220K,R21,R_0603_1608Metric,C3016402,1
Conn_02x05_Odd_Even,J1,power-header-10-pin-unlabelled,,1
PICO_RP2040,U2,raspberry-pi-pico,,1
Conn_01x04_Pin,J11,PinHeader_1x04_P2.54mm_Vertical,,1
